Method	Test dataset	Level	Label	Precision	Recall	F1	Accuracy
SVM	africa	4a	Social focus	0.83	0.98	0.9	0.82
SVM	africa	4a	Mean	0.7	0.97	0.81	0.71
SVM	africa	4b	Growth, Anxiety-free	0.89	0.93	0.91	0.84
SVM	africa	4b	Self-protection, Anxiety avoidance	0.8	0.98	0.88	0.78
SVM	africa	4b	Mean	0.84	0.95	0.9	0.81
SVM	china	1	Be creative	0	0	0	0.95
SVM	china	1	Be curious	0	0	0	0.93
SVM	china	1	Be choosing own goals	0.4	0.67	0.5	0.96
SVM	china	1	Be independent	0.22	0.67	0.33	0.92
SVM	china	1	Have freedom of action	0.2	0.67	0.31	0.91
SVM	china	1	Have privacy	1	0.25	0.4	0.97
SVM	china	1	Have pleasure	1	0.5	0.67	0.99
SVM	china	1	Be ambitious	0	0	0	0.91
SVM	china	1	Have success	0.1	0.12	0.11	0.67
SVM	china	1	Be capable	0.2	0.1	0.13	0.74
SVM	china	1	Be intellectual	0.33	0.08	0.12	0.86
SVM	china	1	Have influence	0	0	0	0.94
SVM	china	1	Have wealth	0.32	0.37	0.34	0.73
SVM	china	1	Have a good reputation	0	0	0	0.98
SVM	china	1	Have a sense of belonging	0	0	0	0.91
SVM	china	1	Have good health	0.2	0.33	0.25	0.94
SVM	china	1	Have no debts	0	0	0	0.93
SVM	china	1	Have a comfortable life	0.35	0.35	0.35	0.66
SVM	china	1	Have a safe country	0.12	0.67	0.21	0.85
SVM	china	1	Have a stable society	0.38	0.43	0.41	0.62
SVM	china	1	Be compliant	0.2	0.43	0.27	0.84
SVM	china	1	Be self-disciplined	0	0	0	0.96
SVM	china	1	Be behaving properly	0.11	0.43	0.18	0.72
SVM	china	1	Be polite	0	0	0	0.99
SVM	china	1	Be humble	0	0	0	0.98
SVM	china	1	Have life accepted as is	0	0	0	0.89
SVM	china	1	Be helpful	0	0	0	0.83
SVM	china	1	Be honest	0.33	1	0.5	0.98
SVM	china	1	Have the own family secured	0.5	0.22	0.31	0.91
SVM	china	1	Be loving	0	0	0	0.96
SVM	china	1	Be responsible	0	0	0	0.86
SVM	china	1	Have equality	0.2	0.67	0.31	0.73
SVM	china	1	Be just	0.26	0.5	0.34	0.65
SVM	china	1	Be protecting the environment	0	0	0	0.91
SVM	china	1	Have harmony with nature	0	0	0	0.94
SVM	china	1	Be broadminded	0	0	0	0.87
SVM	china	1	Have the wisdom to accept others	0	0	0	0.94
SVM	china	1	Be logical	0.5	0.25	0.33	0.88
SVM	china	1	Have an objective view	0	0	0	0.73
SVM	china	1	Mean	0.18	0.22	0.2	0.87
SVM	china	2	Self direction  thought	0	0	0	0.81
SVM	china	2	Self direction  action	0.37	0.64	0.47	0.84
SVM	china	2	Hedonism	1	0.5	0.67	0.99
SVM	china	2	Achievement	0.62	0.46	0.53	0.68
SVM	china	2	Power  dominance	0	0	0	0.91
SVM	china	2	Power  resources	0.32	0.37	0.34	0.73
SVM	china	2	Face	0.33	1	0.5	0.98
SVM	china	2	Security  personal	0.42	0.6	0.49	0.63
SVM	china	2	Security  societal	0.43	0.48	0.45	0.64
SVM	china	2	Conformity  rules	0.31	0.6	0.41	0.74
SVM	china	2	Conformity  interpersonal	0	0	0	0.99
SVM	china	2	Humility	0.14	0.2	0.17	0.9
SVM	china	2	Benevolence  caring	0.15	0.42	0.22	0.65
SVM	china	2	Benevolence  dependability	0	0	0	0.85
SVM	china	2	Universalism  concern	0.32	0.71	0.44	0.62
SVM	china	2	Universalism  nature	0	0	0	0.9
SVM	china	2	Universalism  tolerance	0	0	0	0.82
SVM	china	2	Universalism  objectivity	0.41	0.27	0.33	0.71
SVM	china	2	Mean	0.27	0.35	0.3	0.8
SVM	china	3	Openness to change	0.48	0.47	0.47	0.55
SVM	china	3	Self-enhancement	0.56	0.52	0.54	0.57
SVM	china	3	Conservation	0.65	0.72	0.68	0.59
SVM	china	3	Self-transcendence	0.41	0.78	0.53	0.46
SVM	china	3	Mean	0.52	0.62	0.57	0.54
SVM	china	4a	Personal focus	0.78	0.83	0.8	0.69
SVM	china	4a	Social focus	0.8	0.91	0.85	0.75
SVM	china	4a	Mean	0.79	0.87	0.83	0.72
SVM	china	4b	Growth, Anxiety-free	0.87	0.9	0.88	0.79
SVM	china	4b	Self-protection, Anxiety avoidance	0.83	0.91	0.87	0.78
SVM	china	4b	Mean	0.85	0.91	0.88	0.78
SVM	india	1	Be creative	0.33	0.5	0.4	0.97
SVM	india	1	Be curious	0	0	0	0.94
SVM	india	1	Have freedom of thought	0.11	0.25	0.15	0.89
SVM	india	1	Be choosing own goals	0.1	0.25	0.14	0.88
SVM	india	1	Have freedom of action	0.12	0.67	0.2	0.84
SVM	india	1	Have privacy	1	0.29	0.44	0.95
SVM	india	1	Have an exciting life	0	0	0	0.97
SVM	india	1	Have pleasure	0	0	0	0.97
SVM	india	1	Be ambitious	0	0	0	0.94
SVM	india	1	Have success	0.5	0.42	0.45	0.88
SVM	india	1	Be capable	0.2	0.2	0.2	0.76
SVM	india	1	Be intellectual	0	0	0	0.97
SVM	india	1	Have the right to command	0	0	0	0.97
SVM	india	1	Have wealth	0.14	0.67	0.24	0.87
SVM	india	1	Have social recognition	0	0	0	0.93
SVM	india	1	Have a good reputation	0	0	0	0.97
SVM	india	1	Have a sense of belonging	0	0	0	0.9
SVM	india	1	Have good health	0.5	0.58	0.54	0.88
SVM	india	1	Have no debts	0.33	0.5	0.4	0.97
SVM	india	1	Have a comfortable life	0.21	0.32	0.26	0.65
SVM	india	1	Have a safe country	0.42	0.44	0.43	0.79
SVM	india	1	Have a stable society	0.32	0.71	0.44	0.69
SVM	india	1	Be respecting traditions	0.2	0.5	0.29	0.95
SVM	india	1	Be holding religious faith	0.75	0.6	0.67	0.97
SVM	india	1	Be compliant	0.23	0.3	0.26	0.83
SVM	india	1	Be self-disciplined	0	0	0	0.98
SVM	india	1	Be behaving properly	0.3	0.39	0.34	0.73
SVM	india	1	Be polite	0	0	0	0.97
SVM	india	1	Be humble	0	0	0	0.99
SVM	india	1	Have life accepted as is	0.15	0.5	0.24	0.87
SVM	india	1	Be helpful	0	0	0	0.84
SVM	india	1	Be honest	0	0	0	0.95
SVM	india	1	Be forgiving	0.5	1	0.67	0.99
SVM	india	1	Have the own family secured	0.5	0.33	0.4	0.97
SVM	india	1	Be loving	0	0	0	0.91
SVM	india	1	Be responsible	0	0	0	0.72
SVM	india	1	Have equality	0.36	0.25	0.29	0.76
SVM	india	1	Be just	0.31	0.62	0.42	0.72
SVM	india	1	Have a world at peace	0.67	0.5	0.57	0.97
SVM	india	1	Be protecting the environment	0.5	1	0.67	0.99
SVM	india	1	Have harmony with nature	0.6	0.6	0.6	0.96
SVM	india	1	Be broadminded	0	0	0	0.79
SVM	india	1	Be logical	0.12	0.11	0.12	0.85
SVM	india	1	Have an objective view	0.19	0.3	0.23	0.8
SVM	india	1	Mean	0.22	0.29	0.25	0.89
SVM	india	2	Self direction  thought	0.14	0.33	0.2	0.84
SVM	india	2	Self direction  action	0.07	0.18	0.1	0.64
SVM	india	2	Stimulation	0	0	0	0.93
SVM	india	2	Hedonism	0	0	0	0.97
SVM	india	2	Achievement	0.48	0.55	0.51	0.77
SVM	india	2	Power  dominance	0	0	0	0.95
SVM	india	2	Power  resources	0.14	0.67	0.24	0.87
SVM	india	2	Face	0	0	0	0.88
SVM	india	2	Security  personal	0.43	0.64	0.51	0.66
SVM	india	2	Security  societal	0.53	0.68	0.59	0.74
SVM	india	2	Tradition	0.38	0.5	0.43	0.92
SVM	india	2	Conformity  rules	0.37	0.46	0.41	0.68
SVM	india	2	Conformity  interpersonal	0	0	0	0.95
SVM	india	2	Humility	0.14	0.4	0.21	0.85
SVM	india	2	Benevolence  caring	0.21	0.5	0.29	0.71
SVM	india	2	Benevolence  dependability	0	0	0	0.71
SVM	india	2	Universalism  concern	0.42	0.48	0.45	0.63
SVM	india	2	Universalism  nature	0.67	0.8	0.73	0.97
SVM	india	2	Universalism  tolerance	0.13	0.22	0.17	0.8
SVM	india	2	Universalism  objectivity	0.23	0.41	0.3	0.67
SVM	india	2	Mean	0.22	0.34	0.27	0.81
SVM	india	3	Openness to change	0.35	0.39	0.37	0.56
SVM	india	3	Self-enhancement	0.42	0.65	0.52	0.68
SVM	india	3	Conservation	0.73	0.74	0.74	0.63
SVM	india	3	Self-transcendence	0.53	0.8	0.63	0.55
SVM	india	3	Mean	0.51	0.65	0.57	0.6
SVM	india	4a	Personal focus	0.58	0.75	0.65	0.55
SVM	india	4a	Social focus	0.76	0.89	0.82	0.71
SVM	india	4a	Mean	0.67	0.82	0.74	0.63
SVM	india	4b	Growth, Anxiety-free	0.83	0.94	0.88	0.79
SVM	india	4b	Self-protection, Anxiety avoidance	0.81	0.89	0.85	0.74
SVM	india	4b	Mean	0.82	0.91	0.86	0.76
